타마, 64, 184
마차, 55, 192
나하, 60, 197
아라, 88, 173
자바, 69, 195
파자, 48, 192
나아, 86, 189
바가, 66, 151
파사, 81, 142
바차, 86, 166
카하, 80, 162
바파, 92, 159
바사, 89, 152
마바, 74, 186
아마, 53, 170
파가, 56, 186
라타, 74, 150
타가, 87, 147
사자, 99, 163
파다, 41, 143
가차, 90, 154
사나, 57, 147
카자, 59, 174
하사, 85, 145
자마, 94, 156
파사, 70, 191
사다, 43, 143
파다, 71, 191
차아, 48, 198
아차, 41, 170
다바, 89, 197
라차, 85, 148
파가, 47, 167
바마, 55, 143
바자, 75, 174
사자, 84, 148
타가, 70, 152
타카, 92, 161
라아, 94, 181
자타, 71, 189
마나, 66, 143
사바, 93, 147
자자, 81, 173
나바, 88, 171
가자, 52, 164
가차, 55, 166
다가, 78, 182
아하, 83, 172
카타, 79, 153
카가, 83, 141
카가, 97, 199
카자, 87, 168
타가, 66, 197
파마, 65, 167
다라, 61, 190
마파, 81, 149
바아, 83, 145
가가, 77, 168
마나, 81, 193
하바, 46, 164
바바, 71, 175
차파, 71, 150
타타, 75, 157
바바, 86, 180
다가, 43, 151
아카, 82, 147
나라, 92, 157
카바, 53, 151
가자, 43, 159
파하, 64, 178
카파, 73, 167
마아, 60, 169
아차, 87, 196
아사, 45, 149
파마, 93, 168
하사, 89, 186
가사, 92, 163
사하, 56, 169
다사, 75, 150
차자, 94, 156
타타, 49, 185
차차, 41, 156
아아, 44, 159
바하, 80, 176
바자, 83, 188
자사, 64, 141
아차, 50, 162
하자, 62, 142
바다, 42, 196
하파, 99, 162
파차, 62, 151
나카, 55, 191
다바, 66, 189
자바, 63, 162
다라, 62, 172
라아, 51, 160
라바, 83, 171
파라, 46, 173
아타, 43, 149
카자, 76, 170
하아, 48, 154
타타, 57, 190
사가, 42, 162
사바, 56, 192
아사, 41, 191
나다, 72, 158
가아, 94, 166
카타, 47, 172
가자, 49, 151
다아, 95, 144
차바, 66, 190
파사, 56, 198
파아, 63, 177
파차, 53, 195
카자, 70, 189
차하, 89, 146
사하, 63, 194
사바, 69, 149
하파, 76, 190
자아, 98, 161
아마, 94, 166
카차, 69, 189
바하, 56, 162
파마, 88, 162
차다, 68, 192
바다, 56, 169
자바, 42, 188
카바, 62, 146
마하, 81, 156
나타, 72, 177
사차, 40, 171
라파, 44, 147
하사, 92, 148
마타, 51, 186
자사, 80, 140
하자, 92, 186
자라, 69, 183
자나, 93, 164
다가, 84, 180
차다, 50, 161
차차, 60, 158
라바, 49, 161
타파, 85, 145
